size1,size3, size3, timestamp,
,16, ,1557393061,
, ,17,1557393062,
18, , ,1557393062,
,24, ,1557393063,
, ,17,1557393064,
18, , ,1557393064,
,17, ,1557393065,
, ,17,1557393066,
18, , ,1557393066,
,17, ,1557393067,
, ,17,1557393068,
18, , ,1557393068,
,17, ,1557393069,
, ,17,1557393070,
17, , ,1557393070,
,16, ,1557393071,
, ,20,1557393072,
17, , ,1557393073,
,17, ,1557393073,
, ,16,1557393074,
18, , ,1557393075,
,17, ,1557393075,
, ,17,1557393076,
19, , ,1557393077,
,18, ,1557393077,
, ,17,1557393078,
18, , ,1557393079,
,17, ,1557393079,
, ,17,1557393080,
18, , ,1557393081,
,17, ,1557393081,
, ,16,1557393082,
19, , ,1557393083,
,17, ,1557393083,
, ,16,1557393084,
18, , ,1557393085,
,17, ,1557393085,
, ,17,1557393086,
19, , ,1557393087,
,18, ,1557393087,
, ,17,1557393088,
18, , ,1557393089,
,17, ,1557393090,
, ,17,1557393090,
18, , ,1557393091,
,16, ,1557393092,
, ,17,1557393092,
18, , ,1557393093,
,16, ,1557393094,
, ,17,1557393095,
18, , ,1557393095,
,17, ,1557393096,
, ,17,1557393097,
18, , ,1557393097,
,16, ,1557393098,
, ,17,1557393099,
18, , ,1557393099,
,17, ,1557393100,
, ,17,1557393101,
18, , ,1557393101,
,17, ,1557393102,
, ,17,1557393103,
18, , ,1557393103,
,16, ,1557393104,
, ,17,1557393105,
18, , ,1557393105,
,18, ,1557393106,
, ,17,1557393107,
19, , ,1557393107,
,18, ,1557393108,
,19, ,1557393137,
, ,17,1557393138,
18, , ,1557393138,
,17, ,1557393139,
, ,17,1557393140,
19, , ,1557393140,
,16, ,1557393141,
, ,18,1557393142,
18, , ,1557393142,
,17, ,1557393143,
, ,17,1557393144,
19, , ,1557393144,
,17, ,1557393145,
, ,17,1557393146,
19, , ,1557393146,
,16, ,1557393147,
, ,17,1557393148,
19, , ,1557393149,
,17, ,1557393149,
, ,17,1557393150,
19, , ,1557393151,
,17, ,1557393151,
, ,17,1557393152,
18, , ,1557393153,
,22, ,1557393153,
, ,17,1557393154,
18, , ,1557393155,
,21, ,1557393155,
, ,17,1557393156,
18, , ,1557393157,
,16, ,1557393157,
, ,22,1557393158,
18, , ,1557393159,
,16, ,1557393159,
, ,22,1557393160,
18, , ,1557393161,
,17, ,1557393161,
, ,18,1557393162,
19, , ,1557393163,
,16, ,1557393163,
, ,17,1557393164,
19, , ,1557393165,
,17, ,1557393166,
, ,17,1557393166,
18, , ,1557393167,
,18, ,1557393168,
, ,17,1557393168,
18, , ,1557393169,
,17, ,1557393170,
, ,17,1557393170,
18, , ,1557393171,
,16, ,1557393172,
, ,16,1557393173,
18, , ,1557393173,
,17, ,1557393174,
, ,17,1557393175,
18, , ,1557393175,
,17, ,1557393176,
, ,17,1557393177,
22, , ,1557393177,
,17, ,1557393178,
, ,17,1557393179,
20, , ,1557393179,
,17, ,1557393180,
, ,16,1557393181,
20, , ,1557393181,
,16, ,1557393182,
, ,17,1557393183,
18, , ,1557393183,
,17, ,1557393184,
, ,17,1557393185,
18, , ,1557393185,
