size1, size2, size3, timestamp
, 17, , 1557395984
, , 17, 1557395984
18, , , 1557395985
, 17, , 1557395986
, , 16, 1557395986
18, , , 1557395987
, 18, , 1557395988
, , 16, 1557395988
18, , , 1557395989
, 17, , 1557395990
, , 17, 1557395990
18, , , 1557395991
, 17, , 1557395992
, , 17, 1557395992
18, , , 1557395993
, 16, , 1557395994
, , 17, 1557395994
18, , , 1557395995
, 17, , 1557395996
, , 17, 1557395996
18, , , 1557395997
, 17, , 1557395998
, , 17, 1557395998
18, , , 1557395999
, 16, , 1557396000
, , 16, 1557396000
18, , , 1557396001
, 17, , 1557396002
, , 17, 1557396002
18, , , 1557396003
, 17, , 1557396004
, , 16, 1557396004
18, , , 1557396005
, 16, , 1557396006
, , 17, 1557396006
18, , , 1557396007
, 16, , 1557396008
, , 17, 1557396008
18, , , 1557396009
, 17, , 1557396010
, , 17, 1557396010
18, , , 1557396011
, 17, , 1557396012
, , 17, 1557396013
18, , , 1557396013
, 17, , 1557396014
, , 17, 1557396015
19, , , 1557396015
, 17, , 1557396017
, , 17, 1557396017
18, , , 1557396017
, 17, , 1557396053
, , 17, 1557396054
18, , , 1557396054
, 17, , 1557396056
, , 17, 1557396056
18, , , 1557396056
, 17, , 1557396058
, , 17, 1557396058
18, , , 1557396059
, 17, , 1557396060
, , 17, 1557396060
18, , , 1557396061
, 17, , 1557396062
, , 17, 1557396062
18, , , 1557396063
, 16, , 1557396064
, , 22, 1557396064
18, , , 1557396065
, 19, , 1557396066
, , 17, 1557396066
24, , , 1557396067
, 20, , 1557396068
, , 17, 1557396068
18, , , 1557396069
, 17, , 1557396070
, , 17, 1557396070
19, , , 1557396071
, 17, , 1557396072
, , 17, 1557396072
23, , , 1557396073
, 18, , 1557396074
, , 17, 1557396074
19, , , 1557396075
, 18, , 1557396076
, , 18, 1557396076
19, , , 1557396077
, 17, , 1557396078
, , 17, 1557396078
17, , , 1557396079
, 17, , 1557396080
, , 17, 1557396080
18, , , 1557396081
, 17, , 1557396082
, , 18, 1557396082
17, , , 1557396083
, 16, , 1557396084
, , 17, 1557396084
18, , , 1557396085
, 16, , 1557396086
, , 17, 1557396086
18, , , 1557396087
, 17, , 1557396088
, , 16, 1557396088
18, , , 1557396089
, 17, , 1557396090
, , 17, 1557396091
18, , , 1557396091
, 16, , 1557396093
, , 17, 1557396093
18, , , 1557396093
, 16, , 1557396095
, , 17, 1557396095
18, , , 1557396096
, 17, , 1557396097
, , 17, 1557396097
18, , , 1557396098
, 16, , 1557396099
, , 17, 1557396099
18, , , 1557396100
, 17, , 1557396101
, , 17, 1557396101
18, , , 1557396102
, 17, , 1557396103
, , 17, 1557396103
18, , , 1557396104
, 17, , 1557396105
, , 17, 1557396105
18, , , 1557396106
, 19, , 1557396107
, , 17, 1557396107
18, , , 1557396108
, 17, , 1557396109
, , 19, 1557396109
18, , , 1557396110
, , 17, 1557396111
, 19, , 1557396111
18, , , 1557396112
, 18, , 1557396113
, , 17, 1557396113
24, , , 1557396114
, 20, , 1557396115
, , 17, 1557396115
18, , , 1557396116
, 17, , 1557396117
, , 17, 1557396117
20, , , 1557396118
, 17, , 1557396119
, , 17, 1557396119
19, , , 1557396120
, 17, , 1557396121
, , 17, 1557396121
18, , , 1557396122
, 17, , 1557396123
, , 17, 1557396123
18, , , 1557396124
, 17, , 1557396125
, , 16, 1557396125
18, , , 1557396126
, 17, , 1557396127
, , 17, 1557396128
19, , , 1557396128
, 17, , 1557396129
, , 17, 1557396130
18, , , 1557396130
, 17, , 1557396132
, , 17, 1557396132
18, , , 1557396132
, 17, , 1557396134
, , 17, 1557396134
18, , , 1557396135
, 16, , 1557396136
, , 17, 1557396136
20, , , 1557396137
, 17, , 1557396138
, , 17, 1557396138
18, , , 1557396139
, 16, , 1557396140
, , 16, 1557396140
18, , , 1557396141
, 16, , 1557396142
, , 17, 1557396142
18, , , 1557396143
, 16, , 1557396144
, , 17, 1557396144
18, , , 1557396145
, 17, , 1557396146
, , 17, 1557396146
19, , , 1557396147
, 17, , 1557396148
, , 16, 1557396148
18, , , 1557396149
